"ID";"parentID";"pathPos";"Titel_";"Content1";"Content2";"Content3";"SensorenAktoren";"Screenshot";"len_img";"DB";"Depth"
"4357B7614D414EF6B7CE80A4F9767434";"1";"001.004.";"General descriptions";"In this chapter we describe equipment solutions that are repeated over the project.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";2
"6BD0DC53C2CE4749B7C9676C24A7006B";"4357B7614D414EF6B7CE80A4F9767434";"001.004.001.";"Transportbelt";;"-";"-";;;779953;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"7FD868852C3B4DA0A8FFCA5140704B82";"6BD0DC53C2CE4749B7C9676C24A7006B";"001.004.001.001.";"Belt tracking";"Belttracking is a function to keep the transportbelt centered.

If the belts in not centered the side of the belt will activate the first belt position query sensor. 
This will activate the valve of the belt tracking cylinder. Through this the belt trackingroller is not perpedicular to the belt anymore and the belt traverses back into the center.

If this is not sufficient and the belt traverses further the second sensor gets activated and the belt stops after an adjustable time.

The operation presuure of the belt tensioning can be regulated";"-";"-";"UT1.800B01 - End position inlet side
UT1.800B02 - Query conveyor belt
UT1.800B03 - Query conveyor belt
UT1.800B04 - End position inlet side
UT1.800Y[MP]02 - Drive control roller
UT1.800Y[MP]03 - Drive control roller";;139447;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"7BD9869F08DD4EABA4AB85EC8856D8C9";"6BD0DC53C2CE4749B7C9676C24A7006B";"001.004.001.002.";"Belt tensioning";"The belt tensioning will tension the belt

The belt will be tensioned by pneumatic cylinders.
Only when the belt is tensioned it is allowed to run.
The belt tensioning pressure can be regulated.";"-";"-";"UT1.800Y[MP]52 - Drive tension roller
UT1.800Y[MP]53 - Drive tension roller";;138965;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"18B7026F0A3944378514CFB37719B24F";"6BD0DC53C2CE4749B7C9676C24A7006B";"001.004.001.003.";"Belt drive";"The belt drive  is a frequency controlled drive that controlles the belt speed.";"-";"-";"UT1.800M01 - discharge belt";;51561;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"F9ECA6CFE30748578FE88B8736B59F6D";"4357B7614D414EF6B7CE80A4F9767434";"001.004.002.";"Thermo-Unit";"The Thermo-Unit supplies temperature-controlled process water to the consumer (TM T1-WC2 / WC1) with an adjustable supply temperature (typical range 15…90 °C).
Main Components

Storage tank with integrated electric heating cartridge (E10, on/off control with hysteresis)
Circulation pump (M[PF]10)
Plate heat exchanger for cooling (primary side: chilled water CW ? CWr)
Warm water distribution valve / bypass valve (K[VM]70, 3-way diverting valve, electrically actuated)
Chilled water distribution valve (K[VM]71, 3-way diverting valve, electrically actuated)
Temperature sensor PT100 (B10, located immediately downstream of the plate heat exchanger)
Make-up / refill valve (K[VE]10)
Drain valve (K[VE]80)
Level switch (B01)

Hydraulic Flow Path
Tank ? Pump ? Plate heat exchanger (cooling side) ? Warm water distribution valve (K[VM]70) ?
either ? Consumer (VKS_V / VKS_R)
or ? Bypass line back to tank
Operating Modes and Control Behavior

Heating Mode (setpoint > actual value)
Chilled water distribution valve (K[VM]71) fully diverted to bypass / closed ? no cooling
Warm water distribution valve (K[VM]70) modulates the bypass flow
? higher bypass flow = more hot tank water returned ? temperature increases
? Active control can only raise the temperature.
? Decreasing the temperature is only possible passively (heat dissipation to consumer, natural losses, waiting).

Cooling Mode (setpoint < actual value)
Warm water distribution valve (K[VM]70) fully open to consumer ? no bypass
Chilled water distribution valve (K[VM]71) modulates the chilled water flow through the plate heat exchanger
? higher chilled water flow = increased cooling capacity ? temperature decreases
? Active control can only lower the temperature.
? Increasing the temperature is only possible passively (waiting).


Additional Functions

Upon activation of the level switch (B01 – low level) the make-up valve (K[VE]10) opens automatically.
Manual / system-initiated tank draining is performed via the drain valve (K[VE]80) at the bottom of the tank.";"-";"-";"K[VM]71 - Verteilventil Kaltwasser Thermo-Unit 
M[PF]10 - Warmwasserpumpe Thermo-Unit 
E10 - Heizelement Thermo-Unit 
B10 - Temperatur Thermo-Unit 
K[VM]70 - Verteilventil Warmwasser Thermo-Unit 
K[VE]80 - Drainageventil Thermo-Unit 
K[VE]10 - Nachfüllventil Thermo-Unit 
B01 - Niveauschalter Thermo-Unit";;497233;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"E98D5ED6E8274C7B8678718D14C11F5F";"4357B7614D414EF6B7CE80A4F9767434";"001.004.003.";"Tempering unit  up to 90°C";"Tempering of jacketed containers and product pipes is realised by means of tempering devices.

The tempering devices are autonomous with their own electrical supply. They are switched on individually at the device itself.

The outlet temperature can be adjusted up to 90°C.

They have a fill-up connection to be connected to Water and an overflow outlet that compensates for thermic dilatation.

The outlet and return connections to the equipment to be tempered are equipped with thermo-manometersto show both the outlet temperature and the temperature loss of the water after having traversed the respective loop.";"-";"-";;;1199883;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"95620FD83D51484CA0B438FA2C2BD400";"4357B7614D414EF6B7CE80A4F9767434";"001.004.004.";"Pump block";"Throughout the line, the product pumps follow an identical installation scheme.

They operate on the lobe pump principle, are manufactured by IPP, and feature infinitely adjustable speed via a frequency converter.

The pump head lid is equipped with a double-acting pneumatic cylinder that can retract to connect the suction and discharge sides of the pump head. 
This feature serves as a safety measure against overpressure. Compressed air is applied to the closing side of the cylinder at a controlled pressure, acting as a spring. If overpressure occurs on the discharge side, the product pressure works against this ""spring,"" retracting the cylinder and connecting the suction and discharge sides, thereby stopping the pumping effect (internal bypass).

The cylinder can also be actively opened to make the pump fully permeable when circulating cleaning fluid (oil).";"-";"-";"DC1.810Y[VP]xx - Pump lid drive  
DC1.810M[PF]10 - Day tank pump 
DC1.810B50 - Over-pressure probe Sieve-Day Tank pump 
DC1.810SP10 - Manometer Pressure of pump lid
DC1.810VK70 - Drain pre day tank 
DC1.810B10 - Mass temperature post sieve pump 
DC1.810B70 - Level switch oiling system
DC1.810VC40 - Pressure reducer pump lid
DC1.810VK50 - discharge valve glycerine container";;979255;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"C0718ED9B73C412B8B3415038608E1FD";"95620FD83D51484CA0B438FA2C2BD400";"001.004.004.001.";"Compressed air for glycerin lubrication of the pumps";"In this system, the pneumatic springs of the pump lids must withstand high pressures of 10 bars or more due to the high viscosity of the mass. Therefore, the sealing and lubricating glycerine used for the mechanical seals of the product pumps must correspond to the pressure on the product side.
As the available pneumatic pressure is normally around 6–7 bars, a pressure booster is used to increase the pressure sufficiently.
As the consumption is negligible, the relatively loud pressure booster will not need to work permanently.
It is used centrally to distribute compressed air to the individual production pumps.";"-";"-";"DC1.810VC20 - Pressure booster Gylcerine 
DC1.xxxY[VE] - Compressed air valve for glycerine";;563215;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"AA01094A48114CCC847A1F559D847BD2";"4357B7614D414EF6B7CE80A4F9767434";"001.004.005.";"Emergency Stops";"The Emergency stop buttons are located close to the machines to ensure an safe stop of the machine in case of an emergency";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"87A98A9E470F4BB4B25F2FC0E46E168D";"1";"001.005.";"Machines";;"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";2
"825E4FD7F1114FF084A1975EB4A48C5C";"87A98A9E470F4BB4B25F2FC0E46E168D";"001.005.001.";"Sieve";"The sieve filters out particles from both the fresh material supplied to the system and the material returned from it.

Consisting of a wire mesh disc, the sieve is put into vibration by an eccentric vibrator driven by a motor.

The machine has an outlet through which the filtered material leaves the system. This flows into a funnel and is then pumped downstream.

The filter residues leave the machine via a separate outlet.

A reflective light sensor detects whether there is a constant flow at the residues outlet. If there is a constant flow, this indicates that the sieve is blocked, prompting the operator to switch on the sieve bypass and clean the sieve manually.

The bottom is jacketed and heatable.";"-";"-";"DC1.708M[FM]30 - Vibratory sieve
DC1.708B10 - Overflow filter residue";;856543;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"6CE5DF1233D442F9B03F8B7A519BFB28";"87A98A9E470F4BB4B25F2FC0E46E168D";"001.005.002.";"Day tank";"The day tank has a capacity of 3.000 litres.
It has its own control box.
A slow stirrer prevents the contents from settling, and the walls are jacketed and heated by water.
Electrical heating cartridges heat the tempering water.
A water pump circulates the tempering water.
A PT100 thermometer monitors the mass temperature, is involved in the heating system, and forwards its value to the kitchen control (DC1).
A continuous level probe sends its reading to the kitchen control, which then requests fresh mass from the customer-side melting system.";"-";"-";"DC1.xxxB01 - Temperature day tank
DC1.xxxB01 - Container level";;625855;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"B3607BA680DD4E1F94E687E3F297A27D";"87A98A9E470F4BB4B25F2FC0E46E168D";"001.005.003.";"Temperer TMT1000";"The TMT 1000 temperer is a chocolate tempering machine.

Its nominal capacity is 1000 kg/h, but this varies greatly depending on the mass to be tempered, with differences of several hundred kg/h being common.

It is a screw tempering machine, meaning it has a rotor/stator system with screw-like structures on a cylindrical core. This acts as a propulsion system with a high-shear effect (which is necessary for tempering) and a low-volume cross-section that ensures good temperature transmission.

The system consists of two screws through which the mass passes consecutively. The first screw is divided into de-crystallisation and pre-cooling stages (AS and VKS). The second screw is divided into the cooling/crystallisation (KS) stage, where crystall seeds are formed, and the reheating section, where less stable and unwanted crystall forms are melted, leaving only the stable ones.

For the TMT 1000, two of these setups are united in one system. Each having a capacity of roughly 500 kg/h.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"63F8BE8CFAE94634BF115543E0777E16";"B3607BA680DD4E1F94E687E3F297A27D";"001.005.003.001.";"Connecting parts";"The connecting parts divide the incoming flow of detempered mass into two identical streams. These streams are then directed through the tempering sections and reunited into one main flow before exiting the machine.
This is achieved by diverting half of the main flow using a dosing pump.

Each tempering section can be isolated using pneumatically operated butterfly valves. These valves are used for cleaning and draining the system.

On the outlet line, there is a valve with a dual function:
1) sampling to test the tempering index of the mass. A button near the valve opens it.
2) When the machine is drained, the valve acts as a venting valve.";"-";"-";"DC1.708B20 - Level switch  oiling system UT discharge pump
TMT1.708Y[VP]40 - Inlet valve Temper 1 
TMT1.708Y[VP]50 - Inlet valve Temper 2 
TMT1.708Y[VP]xx - Pump lid drive  
TMT1.708M[PF]10 - Temper pump  
DC1.708SP10 - Manometer Pressure of pump lid
DC1.708VC20 - Pressure reducer pump lid
DC1.708VK20 - discharge valve glycerine container
TMT1.708Y[VP]10 - Branching valve 2 Temper 2 to temper 2 
TMT1.708VK80 - Temper heel removal  
TMT1.708Y[VP]20 - Discharge valve Temper 1 
TMT1.708Y[VP]30 - Discharge valve Temper 2 
TMT1.708VP10 - Venting valve temper 
TMT1.708_20 - Manually open sampling valve";;966097;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"CD972F8EEC0E4056B655F1C50FE660E0";"B3607BA680DD4E1F94E687E3F297A27D";"001.005.003.002.";"TMT500";"The first stage is the decrystallisation stage (DC stage), in which the mass is heated to melt the remaining crystals. The next stage is the pre-cooling stage, in which the mass is cooled to prepare for crystallisation. The next stage is crystallisation (KS stage), in which the crystals are formed in the mass. The final stage is the reheating stage (AS stage), in which the mass is reheated to melt the unstable crystals in the mass. From here, the mass is then fed into the enrobing machine.";"-";"-";;;1081289;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"97878BA9E8D04C7EA2CCD7CBFB9CB19A";"B3607BA680DD4E1F94E687E3F297A27D";"001.005.003.003.";"Correction procedures";"Some materials are more likely to freeze inside the tempering machine.
An increase in viscosity indicates that crystallisation may occur soon. Viscosity is related to the electrical current of the screw drives.
This current is monitored, and once it reaches a predefined value, different strategies are employed to prevent freezing. These strategies are applied consecutively in order of efficiency and time loss.¹

The first strategy is to increase the speed of the screws to the maximum (an empirical value of up to 90 Hz, limited by the drives' current).  Maintain this speed for a period of time t, then gradually return to the regular speed.
(The feeding pump speed must be adjusted to match the speed of the screws.)
If the current is now within the normal range, the problem is solved.
During this process, the line remains in regular production mode.

If the problem has not been resolved after the speed-up procedure, the control system will suggest de-crystallising the temperer.
The line will switch the enrober to bypass mode to prevent it from using the mass from the temperer.
The thermo-units of the screws will switch to de-crystallising/de-tempering at 50°C. All thermo-unit bypasses will be closed, reaching the maximum heating capacity.
Once the thermometers on the screws indicate that the target temperature has been reached, two options are available:
Either the temperer will restart the tempering control loops automatically, or it will ask the operator if the parameters need to be changed in advance.

The control then starts tempering. Once the set values have been reached, the operator is notified to sample the mass and resume production by switching the enrober into production mode.

Step 3: if even step 2 fails, then the line is stopped and the screws need to be disassembled and cleaned manually.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"8EF7DB359CF448B4A17B480166C8F74B";"87A98A9E470F4BB4B25F2FC0E46E168D";"001.005.004.";"Enrober UT";;"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"CC68470E8949482FBD34298F1F99726E";"8EF7DB359CF448B4A17B480166C8F74B";"001.005.004.001.";"Mass flow";"The chocolate mass is fed to the enrober chocolate trough. From there it is pumped to a diverting system of three branches.
- a return flow to the external detempering/tempering installation.
- the enrobing station
- the bottoming station

At the enrobing and bottoming stations the chocolate is applied to the products to enrobe. Residual chocolate drips either directly back into the chocolate trough or on its way along the wire belt, the return plate and back to the trough.

In the trough the retruned chocolate and fresh chocolate get mixed and pumped back into the system.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"F4DDAADBA4384B33AAC3F16111836A7F";"8EF7DB359CF448B4A17B480166C8F74B";"001.005.004.002.";"Enrober - fix part";"The enrober consists of fix and mobile parts.
The fix parts are mounted in the frame of the machine. They are described hereafter.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"5417A14FAC154FECB883CD49BD2FFE27";"F4DDAADBA4384B33AAC3F16111836A7F";"001.005.004.002.001.";"Enrober station";"The enrober station creates an even flow of chocolate  over the product.

The chocolate is pumped through holes in a feeding pipe on to a distributor. The holes in the feeding pipe are cleaned via an pneumatic actuator.

The distributer is heated. The degree of heating can be adjusted.

The enrober station can be moved in two axis.

It can be moved with two drives up/down and down-/upstream.";"-";"-";"UX1.200B01 - Stroke position
UX1.200B02 - Motor position
UX1.200B02 - Pressure switch CA
UX1.200E11 - Heater Enrobing station
UX1.200M01 - Horizontal stroke drive
UX1.200M02 - Lifting / lowering drive
UX1.800Y02 - Rotary valve pipe cleaning";;878515;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"F2C3D197F3F04FFF82AC3EE1981CA07F";"F4DDAADBA4384B33AAC3F16111836A7F";"001.005.004.002.002.";"Blower station";"An even flow of air is blown over the products to reduce the enrobing thickness. The unit consists of a fan and a nozzle that spreads over the width of the products flow.

Speed and quantity of air are adjusted via the fan speed and its frequency converter.

The height of the nozzle is adjusted via a motor, the adjustment in working direction is done manually.

A temperature probe indicates the temperature of the blowing air on the HMI.";"-";"-";"UX1.200B04 - Motor position
UX1.200B51 - Blower  temperature
UX1.200M[PV]03 - Fan
UX1.200M04 - Fan lifter motor";;744505;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"BE7A9CB6A6F34E0A90CEE4FBD54186AD";"F4DDAADBA4384B33AAC3F16111836A7F";"001.005.004.002.003.";"Room heating";"To prevent chocolate built-up the air in the enrobing chamber is heated.
This task is performed by a fan that blows air through electrically heated heat exchangers.

The heaters are controlled by a temperature probe that measures the air in the enrobing chamber.

An additional temperature probe acts as maximum limiter to switch off the heaters for a pre-defined temperature.

The air speed is controlled via the frequency converter of the fan.

The air is filtered prior to being processed.";"-";"-";"UX1.700B01 - Room temperature
UX1.700B02 - Temperature limiter
UX1.700E01 - Room air heating
UX1.700M[PV]01 - fan";;796543;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"65DC7CC09115434AB5D58D3CD50DBA16";"F4DDAADBA4384B33AAC3F16111836A7F";"001.005.004.002.004.";"Emergency Stops";"The enrober is equipped with an emergency shut-off button at each corner.";"-";"-";;;677367;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"6F8B9868778B45A4938A78F3937E69B3";"8EF7DB359CF448B4A17B480166C8F74B";"001.005.004.003.";"Wire belt System";"The wire belt system is a wire belt conveyor that transports the products to enrobe through the enrober.

It can be moved out of the actual enrober to allow for instance a fast product change (different chocolate) by using another wire belt table.

It is designed to:
- allow the chocolate to drip trough the table to get re-circulated
- remove in a controlled manner eccess chocolate from the sides and the bottom, as well as the chocolate tail when transfering to the attached cooling tunnel.
- avoid chocolate built-up";"-";"-";;;716551;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"6DE716AD25EE4E5291C9BB74DCE6DD88";"6F8B9868778B45A4938A78F3937E69B3";"001.005.004.003.001.";"Belt drive and heating";"The belt is driven by an electrical motor. Its speed is infinetely adjustable via a frequency converter.

The inlet and the outlet bar, as well as the side bars are heated by means of electrical heating elements.";"-";"-";"UX1.800M01 - Wire belt drive
UX1.807E01 - Heating inlet plate
UX1.807E03 - Bars heating
UX1.807E08 - Heating discharge bar";;401655;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"EB018CBA81D54D6AA473BE2F3929A22E";"6F8B9868778B45A4938A78F3937E69B3";"001.005.004.003.002.";"Bottoming station";"The bottoming station consists of roller, half immersed in a trough filled with chocolate. The motor driven roller lifts the chocolate by friction.
The so lifted chocolate is a wall whose height is adjustable.";"-";"-";;;211903;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"D5AB6B7905B848F880C1E53B4F75E4C5";"6F8B9868778B45A4938A78F3937E69B3";"001.005.004.003.003.";"Bottom support bars, vibrator, licking rollers and belt lifter";"A pair of undriven bars underneath the belt supports the wire mesh belt and ""lick"" amount of chocolate off the products bottoms. The bars are heated.

The belt vibration unit, is heatable and the virbation is manually adjustable with an excentric roller. 
It is a system of 3 bars - equuipped with heaters - wich are integraded in a frame which is moving over one wheel with two profiled wheels. The wheel is driven by an electric motor. The speed of the motor is infinetely adjustable via frequency converter.
The belt vibrator wheel is equipped with an water tempering system, fed by the wire system.

The vibration unit ist follws by two electrical driven licking rollers. This rollers ""lick"" the excess chocolate off the products bottoms. The efficiency of these licking rollers can be regulated via the speed - using a frequency converter - and via the adjustable distance to the wire mesh belt.

 
The wire mesh belt lift is manually adjustable and electrically heated.

Under the licking rollers are electrically heated scrapers which remove the excess chocolate from the licking rollers.";"-";"-";"UX1.800M03 - Vibration device
UX1.807E04 - Heating bottom licking roller
UX1.807E04 - Heating bottom licking roller
UX1.807E05 - Heating vibr. Station Width adjustment
UX1.807E06 - Heating excenter belt lifter
UX1.807E07 - Heating belt lifter
UX1.xxxE0x - Heating excenter vibration station";;286509;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"1F1D0FB9B96747E5B6F97CEFDA343989";"6F8B9868778B45A4938A78F3937E69B3";"001.005.004.003.004.";;"For additional removing of chocolate from the bottom of the products, the machine is equipped with a three driven rollers, two of then runs againts the product flow (one in running dicrection) and scrape off the chocolate.
The rollers are indirect electrically heated.";"-";"-";;;160055;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"A487BE7E229745258FEA31AD132C002A";"6F8B9868778B45A4938A78F3937E69B3";"001.005.004.003.005.";"Return plate";"The chocolate dripping through the wire mesh belt falls onto the return plate, from which it is led to the chocolate through.
The plate is equipped with individual electric heating elements as well as water tempering system - installed in the trough installation.";"-";"-";"UX1.807E11 - Side heating
UX1.807E12 - Side heating

UX1.707E11 - Heating of decristallisation water
UX1.P - Water circulation pump
UX1.SP - Manometer
UX1.V10 - Mixing valve tempering water";;133665;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"0537AE47964D481F8B11431320582650";"A487BE7E229745258FEA31AD132C002A";"001.005.004.003.005.001.";"Water tempering return plate";"The water tempering system is built in the trough trolley. It supplies tempered water to the return plate via hoses and fast couplers.

It consists of:
- a water tank, filled by the tempering system of the trough trolley.
- a heating element in the tank
- a water circulation pump
- a pressure compensation tank
- a venting installation with manometer
- a drain";"-";"-";;;319295;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";6
"64FDFBD36DBE434B801A277ED844ECB9";"6F8B9868778B45A4938A78F3937E69B3";"001.005.004.003.006.";"De-tailing shaft";"The de-tailing shaft is placed at the gap between wire mesh conveyor and the infeed to the following cooling tunnel.
Turning at high speed it tears off the chocolate tail that the transfer between the belts would create.
The excess chocolate is lead to the return plate.

The de-tailing shaft is electrically heated.";"-";"-";;;398455;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";5
"8B00751C52A644F8ADBBB3876A3DB9E6";"8EF7DB359CF448B4A17B480166C8F74B";"001.005.004.004.";"UT mass through";"The chocolate trough is machine part that receives the chocolate from outside, circulates it to the enrobing station(s) and the bottoming station(s) and collects the surplus mass that has not coated the products. This latter backflow is pumped back into the system.
A part of it is pumped back to the chocolate tempering installation.
The ratio recirculation to retempering is defined by the speed of the return pump.

The chocolate trough is executed as trolley. It can be moved out of the enrober, specially for quick mass change-over.

The chocolate trough consists mainly of a trough with a mixing and transport screw (with frequency converter drive), a circulation pump that extracts the mass from the trough, the circulation pipe work to the enrobing and bottoming stations, the chocolate return pump and two water tempering circuits.";"-";"-";"UX1.707B11 - Water temperature
UX1.707B12 - Mass temperature
UX1.707B31 - Water temperature
UX1.707E11 - Heating of decristallisation water
UX1.707E31 - Heating of tempering water
UX1.707M[P]10 - Water pump DC
UX1.707M[P]30 - Water pump trough
UX1.707M[VM]31 - Mixing valve cooling water
UX1.708M[P]20 - Return pump
UX1.708M10 - Mixer and curtain pump drive
UX1.P - Curtain pump
UX1.V1 - Throttle CW
UX1.V10 - Switch to: only bottomin/bottoming + enrobing
UX1.V11 - Shut-off valve for 2n curtain
UX1.V11 - Shut-off valve for 2n curtain";;2030467;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
